Id,Category
0,0
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,1
474,1
475,0
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,1
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,0
600,1
601,1
602,0
603,0
604,0
605,0
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,1
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,0
698,0
699,1
700,1
701,0
702,1
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,0
795,1
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,1
810,1
811,1
812,1
813,1
814,0
815,0
816,1
817,0
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,1
831,1
832,1
833,1
834,1
835,0
836,0
837,1
838,1
839,0
840,1
841,0
842,0
843,1
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,0
861,0
862,1
863,1
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,0
872,1
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,0
885,0
886,1
887,1
888,1
889,1
890,1
891,0
892,1
893,0
894,1
895,1
896,0
897,1
898,0
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,1
907,1
908,1
909,0
910,1
911,1
912,1
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,1
922,1
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,0
941,0
942,1
943,0
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,0
970,1
971,1
972,1
973,1
974,0
975,0
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,1
985,1
986,1
987,1
988,0
989,1
990,0
991,0
992,1
993,0
994,1
995,1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,0
