id,value
id_0,6.680816513164005
id_1,18.175042958359814
id_2,23.418748146266896
id_3,7.718372911343296
id_4,27.034571791813214
id_5,22.24885315696474
id_6,23.844862287405675
id_7,30.460335930669387
id_8,16.859794092616454
id_9,59.68548560443345
id_10,11.678653765482155
id_11,9.33911138672014
id_12,63.43871399049272
id_13,53.23668623424851
id_14,22.198433126132787
id_15,12.162145428580795
id_16,32.491956473271685
id_17,66.67425388005489
id_18,-0.41876913328877347
id_19,17.161492900998276
id_20,41.699698195290004
id_21,72.09611187087395
id_22,9.37037363643941
id_23,17.733537532456022
id_24,14.756262623023044
id_25,37.64756218274098
id_26,14.607239932847744
id_27,69.93385286212626
id_28,7.260237456733257
id_29,55.42716919716852
id_30,24.440041872449832
id_31,8.478487779920902
id_32,2.5081988513117084
id_33,18.734212443463907
id_34,27.79250642400229
id_35,37.25348277752753
id_36,43.28692844511527
id_37,29.830220796329648
id_38,42.17043562791799
id_39,35.1577040500985
id_40,7.659694193735799
id_41,41.26970484677592
id_42,30.591478265643858
id_43,50.96158384419648
id_44,17.513819050941077
id_45,35.366976314739496
id_46,24.629816668718025
id_47,9.624610666380999
id_48,26.793061375317862
id_49,32.2510369811478
id_50,20.124363222136292
id_51,7.9710368989116605
id_52,20.552012742407097
id_53,52.69998894520386
id_54,15.920911160751377
id_55,36.56368758671625
id_56,32.8082329099816
id_57,20.757998055436126
id_58,57.39761139644207
id_59,22.722106941474497
id_60,14.335257664161567
id_61,41.81089869029652
id_62,12.567878290347302
id_63,48.42385824486152
id_64,14.260651098126097
id_65,15.133691933703288
id_66,14.454908996676025
id_67,-0.9288381871391408
id_68,43.80834918466947
id_69,29.09881010532411
id_70,20.11366211863605
id_71,41.80007672423728
id_72,60.84478818794249
id_73,5.432091428657553
id_74,16.475639885146705
id_75,3.4852039317266055
id_76,40.56564863614494
id_77,13.966918991404079
id_78,21.558354358763133
id_79,21.058696167807383
id_80,23.964586801878347
id_81,36.10027954090501
id_82,21.769100782379496
id_83,92.47407496163352
id_84,37.27020750437576
id_85,27.889533989113666
id_86,21.988223619587757
id_87,33.723750326465456
id_88,23.364285228035587
id_89,19.83329964771059
id_90,28.902077746203535
id_91,41.53793128275005
id_92,4.707381543274963
id_93,38.87193562750092
id_94,45.910072868551
id_95,16.433831063919648
id_96,31.665884255723054
id_97,13.015147298331605
id_98,23.481232176537667
id_99,4.577174936334208
id_100,18.13940775177079
id_101,26.372898494285312
id_102,14.070790464876282
id_103,15.862042229260215
id_104,23.929112426293063
id_105,39.701888604404935
id_106,31.53291757457834
